Ano;Evento;Tipo;Gravadora;Descricao
1984;Fundação;Evento;;A banda é formada em Oslo por Euronymous, Necrobutcher e Manheim.
1986;Pure Fucking Armageddon;Demo;Funny Vibe Records;Primeira demo oficial, extremamente crua.
1987;Deathcrush;EP;Posercorpse Music;EP seminal que definiu a estética sonora do início do Black Metal norueguês.
1988;Entrada de Dead e Hellhammer;Evento;;Entrada dos membros que criariam a aura lendária da banda.
1990;Live in Leipzig;Live Album;Obscure Abhorrence;Registro histórico com a formação clássica.
1991;Suicídio de Dead;Evento;;Morte do vocalista e saída de Necrobutcher.
1993;Assassinato de Euronymous;Evento;;Morte do fundador pelas mãos de Varg Vikernes.
1994;De Mysteriis Dom Sathanas;Álbum de Estúdio;Deathlike Silence;Obra-prima póstuma. O primeiro 'full-length' oficial.
1995;Reforma da Banda;Evento;;Hellhammer reconstrói a banda com Necrobutcher, Maniac e Blasphemer.
1997;Wolf's Lair Abyss;EP;Misanthropy Records;Primeiro lançamento após a reforma.
2000;Grand Declaration of War;Álbum de Estúdio;Season of Mist;Álbum vanguardista e militarista.
2004;Chimera;Álbum de Estúdio;Season of Mist;Retorno ao som agressivo. Último álbum com Maniac.
2007;Ordo Ad Chao;Álbum de Estúdio;Season of Mist;Álbum experimental e denso. Volta de Attila Csihar.
2008;Saída de Blasphemer;Evento;;Saída do guitarrista principal após anos de liderança criativa.
2011;Entrada de Teloch;Evento;;Início da estabilização da formação atual.
2014;Esoteric Warfare;Álbum de Estúdio;Season of Mist;Álbum conceitual sobre teorias da conspiração e ocultismo.
2019;Daemon;Álbum de Estúdio;Century Media;Retorno à sonoridade clássica e sombria.
2021;Atavistic Black Disorder;EP;Century Media;EP com faixas bônus e covers de Punk.
2023;Daemonic Rites;Live Album;Century Media;Registro ao vivo da turnê mundial de Daemon.
2024;40 Anos de Mayhem;Evento;;Turnê comemorativa de 40 anos de carreira.
2025;Lançamentos Atuais;Single;Century Media;Novas composições da formação consolidada.
